iter	Passed	Remaining
415	3065	4304
416	3072	4295
417	3080	4288
418	3088	4282
419	3095	4274
420	3101	4266
421	3109	4258
422	3115	4250
423	3122	4242
424	3129	4233
425	3136	4226
426	3143	4218
427	3150	4210
428	3157	4202
429	3166	4196
430	3173	4189
431	3180	4181
432	3187	4173
433	3193	4164
434	3200	4157
435	3207	4149
436	3214	4141
437	3222	4134
438	3229	4127
439	3236	4119
440	3244	4112
441	3251	4104
442	3258	4097
443	3267	4091
444	3274	4084
445	3282	4077
446	3291	4072
447	3303	4069
448	3310	4062
449	3317	4055
450	3325	4047
451	3333	4041
452	3341	4035
453	3349	4028
454	3358	4022
455	3366	4016
456	3375	4010
457	3383	4003
458	3390	3996
459	3398	3989
460	3406	3982
461	3414	3976
462	3422	3969
463	3430	3963
464	3438	3956
465	3445	3948
466	3453	3941
467	3461	3935
468	3468	3927
469	3476	3919
470	3482	3911
471	3490	3904
472	3497	3896
473	3504	3888
474	3510	3880
475	3517	3872
476	3524	3864
477	3530	3855
478	3537	3847
479	3543	3839
480	3550	3831
481	3558	3823
482	3565	3816
483	3572	3808
484	3578	3800
485	3586	3792
486	3592	3784
487	3599	3776
488	3606	3768
489	3612	3760
490	3619	3752
491	3626	3744
492	3633	3736
493	3639	3728
494	3646	3720
495	3653	3712
496	3660	3704
497	3668	3697
498	3675	3690
499	3682	3682
500	3689	3674
501	3696	3666
502	3703	3659
503	3711	3652
504	3718	3645
505	3726	3638
506	3733	3630
507	3739	3622
508	3747	3614
509	3754	3606
510	3761	3599
511	3768	3591
512	3775	3583
513	3781	3575
514	3789	3569
515	3799	3563
516	3807	3557
517	3815	3550
518	3823	3543
519	3832	3537
520	3840	3531
521	3850	3525
522	3859	3519
523	3867	3512
524	3875	3506
525	3883	3499
526	3892	3493
527	3899	3486
528	3907	3479
529	3915	3471
530	3923	3465
531	3930	3457
532	3938	3450
533	3945	3443
534	3952	3435
535	3960	3428
536	3966	3420
537	3974	3412
538	3981	3405
539	3989	3398
540	3996	3390
541	4003	3383
542	4010	3375
543	4018	3368
544	4025	3360
545	4032	3353
546	4041	3346
547	4049	3339
548	4058	3333
549	4068	3329
550	4078	3323
551	4087	3317
552	4097	3311
553	4105	3305
554	4114	3298
555	4123	3292
556	4131	3286
557	4140	3279
558	4149	3273
559	4157	3266
560	4165	3259
561	4174	3253
562	4183	3247
563	4191	3240
564	4199	3233
565	4208	3226
566	4215	3219
567	4222	3211
568	4230	3204
569	4236	3196
570	4244	3189
571	4251	3181
572	4258	3173
573	4264	3165
574	4273	3158
575	4286	3155
576	4294	3148
577	4303	3142
578	4312	3136
579	4322	3129
580	4330	3123
581	4341	3118
582	4352	3112
583	4361	3106
584	4370	3100
585	4379	3093
586	4387	3087
587	4396	3080
588	4406	3074
589	4415	3068
590	4425	3062
591	4434	3056
592	4442	3049
593	4451	3042
594	4459	3035
595	4466	3027
596	4472	3019
597	4479	3011
598	4488	3004
599	4494	2996
600	4502	2989
601	4508	2980
602	4516	2973
603	4522	2965
604	4530	2957
605	4536	2949
606	4543	2941
607	4551	2934
608	4558	2926
609	4566	2919
610	4573	2911
611	4580	2904
612	4588	2896
613	4595	2889
614	4602	2881
615	4610	2873
616	4617	2866
617	4623	2858
618	4630	2850
619	4638	2842
620	4645	2835
621	4652	2827
622	4660	2820
623	4667	2812
624	4674	2804
625	4681	2796
626	4689	2789
627	4698	2783
628	4706	2775
629	4713	2768
630	4720	2760
631	4727	2752
632	4736	2746
633	4746	2740
634	4756	2733
635	4765	2727
636	4774	2720
637	4782	2713
638	4790	2706
639	4797	2698
640	4805	2691
641	4814	2684
642	4823	2677
643	4831	2670
644	4839	2663
645	4848	2657
646	4857	2650
647	4865	2642
648	4873	2635
649	4881	2628
650	4889	2621
651	4899	2615
652	4907	2608
653	4916	2600
654	4923	2593
655	4931	2585
656	4937	2577
657	4945	2570
658	4952	2562
659	4959	2555
660	4967	2547
661	4975	2540
662	4982	2532
663	4989	2525
664	4997	2517
665	5004	2509
666	5012	2502
667	5019	2494
668	5027	2487
669	5034	2479
670	5041	2472
671	5049	2464
672	5057	2457
673	5064	2449
674	5071	2441
675	5078	2434
676	5085	2426
677	5091	2418
678	5098	2410
679	5106	2403
680	5113	2395
681	5119	2387
682	5126	2379
683	5133	2371
684	5141	2364
685	5148	2356
686	5156	2349
687	5163	2341
688	5169	2333
689	5176	2325
690	5182	2317
691	5189	2309
692	5195	2301
693	5202	2293
694	5209	2286
695	5215	2278
696	5223	2270
697	5229	2262
698	5236	2254
699	5242	2246
700	5249	2239
701	5256	2231
702	5263	2223
703	5271	2216
704	5284	2211
705	5291	2203
706	5304	2198
707	5314	2191
708	5323	2185
709	5333	2178
710	5342	2171
711	5351	2164
712	5359	2157
713	5368	2150
714	5377	2143
